id	text	class_label
268	Please allow detecting contacts across a phone "backup, wipe, restore" sequence, as the backup app reported that you don't. Desired bonus featue: Basic stats display like "Active for XX hours with XX different IDs, XXX anonymous contact IDs recorded, 0 contact IDs were infectious, you are NOT registered as infected, latest list of infectIous IDs downloaded yesterday at HH:MM".	2
269	I gave it stars because my mum office will get over will	0
270	StaySafe is a great app, simple and very easy to use. Thanks to the developers who dedicated their time in doing this kind of app.	0
271	Great app	0
272	Unable to install for TPG sim card user..?	2
273	Can't register. Keeps telling me "there's a network issue"	2
274	Hai guisy does it work yet	2
275	Can't check in and check out. This should be one of the main reason for using app. Never think through when implementing app :(	2
276	A good application. Somewhat tedious to complete the entry process.	0
277	Ok	0
278	Powerful idea during this time of crisis. Brilliant use of technology!	0
279	Nice Bhai \ud83d\ude0e\ud83d\udc81	0
280	Great app thank you	0
281	I am using a Samsung Galaxy S10 and I have constant issues with connectivity to other bluetooth devices with this running. Please fix the bugs - I would like to do the right thing and use the app but it is very so frustrating I am close to deleting it.	1
282	No issues	0
283	Can't register NRIC keep show error	2
284	App crashed upon opening. Meh	1
285	Best Application ever \u263a\ufe0f	0
286	Easy enough to set up once registration opened up	0
287	No id found - in location mode after choosing on navigation location it still showing no id found what is the solution??	1
288	Please fix this app	2
289	Very good thanks for Qatar government	0
290	Is your application secretly listening to our conversation? Why is there a weird notification from google stored in a secure folder when I installed this application? I tested when I uninstall this application it won't appear but once installed, the icon appear, and if I click on it, it will disappear	2
291	Amazing app.	0
292	Why ask for accessing media and photos. And keep closes right after opening. If u want ensure a low make sure it's working properly in the first place.	1
293	I can't update since im installing the app .. Kominfo app? Really?? Fix it guys.. tq	2
294	Not able to register in Ihtiraz it's giving me an error failed to request OTP	2
295	not working very well	2
296	The location data for county Dublin does not have Lucan, but has Leixlip which as everyone knows is county Kildare.	0
297	Why this application wrong information show on screen I'd expire when I'd expired 2021 why	1
298	Nice app	0
299	excelent	0
300	Drains battery within 30 mins.	1
301	Not working	2
302	Cool! Thanks.	0
303	Good info	0
304	Faked app, poor work	1
305	Unable to install for TPG sim card user..?	2
306	Where it wants a gender, the Continue tab blocks entry. It doesn't work.	2
307	After update the my phone shows notifiicon icons with no description mainly on lock screen when phone is unlocked it shows to covid safe icon with no description	1
308	Battery drain	1
309	Works well	0
310	I downloaded this app,and it is good.i completed the registration without any problems.bu now the app isn't responding.not working.. what i want to do now.. please let me know	2
311	Easy to download, zero issues!!	0
312	This app is useless it can't download many times l try	2
313	Worked great - Was easy to use, hopefully will save lives!	0
314	U helped to testifly people what i am	1
315	I concur with some comments made about the latest update. It seems to use more battery, and there are occasionally issues with Bluetooth functionality. I use a Huawei Y5. My biggest beef is that since adding covidsafe, I have found my Facebook Lite app doesn't work properly. FB can't post or upload photos. Maybe there is a setting on the covidsafe app, which when switched on or off, will fix this annoyance. I wish I knew.	1
316	It's good but, i can't chang my password.	2
317	Must connect mobile data and bluetooth to be traced. Wasting my money on my mobile bill! \ud83d\ude21	1
318	Drained my battery to zero after using from 10 am to 5 pm. So changing to 3 star rating. Only 1 step to scan QR code for check in. And check out from your app- no need to scan again. PLUS save your frequent visited location under FAVORITES and just tap for immediate check in. No need to look for QR code at the location. SUPER - group check in for family. No need to scan one by 1. (and check out too)	1
319	Excellent	0
320	Put in all details accurate,still cannot validate, why?	2
321	Good app	0
322	Staysafe PH is a fantastic application it has amazing features i use it and recommended it.thanks for developer	0
323	1 notification comes every minute! Feeling very annoyed !! What can I do about it?	1
324	It's a good app to monitor your Covid 19 states .	0
325	Very good app	0
326	If you want to encourage people to download this app, then don't cheap out on production. Everytime Android has an update this thing stops working and crash reports keep interrupting my device's normal operation. Had to uninstall. As bad as every other government website or app. Budget production, budget results.	1
327	Very helpful ðŸ‘�ðŸ‘�ðŸ‘�ðŸ‘�ðŸ‘�	0
328	Good for all	0
329	My Bluetooth is on, but app showing regularly pop up to open Bluetooth. Pathetic	0
330	My ID under the safe entry can be viewed in full without any authentication, feeling unsecured.	1
331	Unfortunately I had to uninstall this app as it kept interfering with my bluetooth headphones and speaker. They both kept dropping out, every time I would use them. As soon as I uninstalled the app it stopped happening. Very disappointing as I think the app is a great idea (Galaxy S9+)	1
332	very good app	0
333	It's just like Modi himself. Only flatter, good for nothing. Features seemed so promising But failed to work	1
334	Good job	0
335	D?kuji! Thank you!	0
336	Good job Singapore!	0
337	Why to access our memory card	1
338	App caused Battery to be drained twice in a few hours so had to uninstall.	1
339	I changed to a new phone. I installed the app on my phone and want to re_register tracetogether onto it. However, i am unable to register my NRIC. Do advise.	2
340	There are two mistakes, You have to solve it- 1. Using Bluetooth. (Remove Bluetooth Permission) 2. No update information on the app.When I pick an item It sows to open browser.Even, There is no informative tools in the app.All things depend on website. ( Add update news, without opening browser)	0
341	Draining out Battery very fast	1
342	Trying to do the right thing, was happy to download but have had numerous issues with Bluetooth connectivity, especially handsfree in my car which i need for work randomly disconnecting. Have had to uninstall as this is dangerous and distracting while driving.	0
343	Battery draining. I can't go an hour without needing to change my phone	1
344	Difficult to use	2
345	Did nothing .I installed as I was asked to by our PM after 8 months of nothing I uninstalled.	2
346	Good	0
347	Thanks for locking me out permanently just because i put the wrong nric issue date. It's not like i wanted to watch that movie or anything.	2
348	Perfect app for BD. It will help us to trace Corona in a short time. Good initiative. Thank You	0
349	App not opening still on green page at to do.	1
350	Good appe	0
351	Good	0
352	Very helpful app	0
353	Nice	0
354	Good to use	0
355	Entered my IC & was told Invalid .. ???	2
356	Good	0
357	My mom is using a very old phone model and the "latest update" stopped at android ver 4.x... so we cannot download this app which only supported ver 5.1 above.	2
358	Good ! Now everyone use it so we can finally get over with this virus ! The more implication, the less time we still live with it !	0
359	Indeed very usefull. Snappy salute to all brilliant minds behind this awesome app.	0
360	Awesome	0
361	Nice	0
362	Dead battery	1
363	Useful	0
364	Unable to log in	2
365	Good	0
366	Very very helpfull	0
367	Very good	0
368	How foreigners are going to register with this app?	2
369	Nice application	0
370	Thank's aarogya setu	0
371	The app is saying I'm registering an invalid phone number when in fact it is my number, how can we help when the app won't except numbers	2
372	Your personal Data unsafe app	1
373	Very nice app	0
374	It's been working perfect up until today and has tore through my battery twice. On Android OnePlus 8 Pro. Loads of reports of the same on boards.ie. Please fix ASAP as we need this app!!	1
375	Easy to install and setup. Close it and it sits in the background. Minimal battery use. Tin foil hat not supplied. Pay no attention to partisan paranoid armchair software engineers.	1
376	Crashes my phone and takes up all my storage whenever I download it	1
377	Battery sucker app	1
378	Good	0
379	Invalid number?!? Switch off wifi and try again. Bam	2
380	Good	0
381	Great app, zero outcome...i finally delete this app. I rarely go anywhere during this pandemic, but when i do... All are "Red Zone"	1
382	Crashes on startup, previous version was working ok	0
383	Fake app	1
384	Just another useless app! Never helped to save or prevent even a single case of covid19 in Australia. People who designed and developed this app should be subject to further investigation for wasting tax payers' money.	2
385	My phone number has been deemed invalid so I can't sign up	2
386	The app keeps telling me I have an invalid phone number. I know I have entered it correctly. I have uninstalled & reinstalled, even restarted my phone. I don't ever have voice mail set up, could this possibly have anything to do with it ? I have an android phone.	2
387	hi, after the Oct 28 update, my QR code scanner inside the App is no longer working. Scan multiple QR safe entry code and none successful. Lucky I have saved common places I go as favourite. Please check.	2
388	Simple to use.	2
389	I have a +40 number. +36 is forced.	2
390	Good	0
391	Stunning	0
392	Dear team I am unable to select date as per instruction yyyy/mm/dd, however "/" is not getting selected nor the app is built in such a way that it automatically jumps that partition Kindly look into this i have done uninstallation & Re installation several time But the condition remains same	2
393	You need to fix an issue that logs you out when the iphone turns off.	2
394	Blocks other things that need Bluetooth to function.	1
395	Can't even log in to it as it won't accept my mobile no. and tells me it is an invalid number	2
396	battery draining way too much (coughing and sneazing), phone overheating constantly (fever). looks like my phone is catching the Covid not me. this app needs some serious fixing.	1
397	double check entered otp and phone no. even though is correct, app doe not seem to respond	2
398	Had to delete it yesterday because my battery was drained in about 2 hours. Phone won't charge fast enough to keep up with the battery drainage. Looked like an easy to use app so hopefully it can be fixed to resolve the battery drainage issue.	1
399	I want to do my part to help, but this app causes frequent issues with any paired Bluetooth devices making it all but unusable.	1
400	They still prompting that my NRIC number is invalid	2
401	Nice app	0
402	NICE	0
403	Isn't useful, drains a lot of battery power.... Please fix	1
404	Update: Been crashing on open for months, completely pointless now \ud83d\ude44 Was 5/5: Good initiative, and great app execution. The best government app I've used by far. Well developed, easy to use, very informative.	1
405	We apprecitae the all efforts are being adopted by Qatar governament to control QOVID19	0
406	Like	0
407	Parts of it don't work, very frustrating	1
408	With this application really l help us to go out to buy our nessesary need in our house during the lockdown. Thanks	0
409	Good	0
410	Thank you, good app.	0
411	Convenient	0
412	This application is not opening... if there is any other option?	2
413	Very nice aap	0
414	Good	0
415	My profile keep missing and the scan qr will be missing	2
416	Cool	0
417	Points to wrong attestation.	1
418	Best Setu App	1
